timestamp,event,symbol,trade_id,cash,equity,open_positions,return_pct,quality_win
2026-05-01 10:20:00,entry,WULF,0,80000.0,100000.0,1,,
2026-05-01 10:25:00,entry,CIFR,1,59989.19,100054.05,2,,
2026-05-01 10:25:00,entry,AMKR,2,39980.58,100043.05,3,,
2026-05-01 10:25:00,entry,LSCC,3,19974.81,100028.86,4,,
2026-05-01 10:30:00,entry,HOOD,4,87.54,99436.35,5,,
2026-05-01 10:30:00,skip_max_positions,COIN,5,87.54,99444.47,5,,
2026-05-01 10:45:00,skip_max_positions,BLNK,6,87.54,100086.32,5,,
2026-05-01 10:50:00,skip_max_positions,ARM,7,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,AFRM,8,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,HIVE,9,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,QUBT,10,87.54,100017.72,5,,
2026-05-01 11:15:00,skip_max_positions,UWM,11,87.54,100572.54,5,,
2026-05-01 11:35:00,skip_max_positions,TMDX,12,87.54,100307.9,5,,
2026-05-01 11:45:00,skip_max_positions,RIOT,13,87.54,100234.11,5,,
2026-05-01 11:50:00,exit,CIFR,1,19801.16,99853.32,4,-0.01485,False
2026-05-01 11:50:00,skip_no_cash,BTDR,14,19801.16,99853.32,4,,
2026-05-01 11:55:00,skip_no_cash,MPWR,15,19801.16,99957.01,4,,
2026-05-01 12:05:00,skip_no_cash,CLSK,16,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,IREN,17,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,IONQ,18,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,QS,19,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,COHR,20,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,LEU,21,19801.16,99787.54,4,,
2026-05-01 12:10:00,skip_no_cash,LCID,22,19801.16,99756.24,4,,
2026-05-01 12:10:00,skip_no_cash,HIMS,23,19801.16,99756.24,4,,
2026-05-01 12:15:00,skip_no_cash,SPCE,24,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,LUNR,25,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,ENPH,26,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,BEAM,27,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,SOFI,28,19801.16,99806.2,4,,
2026-05-01 12:20:00,skip_no_cash,SERV,29,19801.16,99587.75,4,,
2026-05-01 12:25:00,skip_no_cash,FSLR,30,19801.16,99611.19,4,,
2026-05-01 12:25:00,skip_no_cash,TEM,31,19801.16,99611.19,4,,
2026-05-01 12:25:00,skip_no_cash,NET,32,19801.16,99611.19,4,,
2026-05-01 12:30:00,skip_no_cash,TTD,33,19801.16,99627.12,4,,
2026-05-01 12:35:00,skip_no_cash,LAES,34,19801.16,99689.26,4,,
2026-05-01 12:40:00,skip_no_cash,TSM,35,19801.16,99679.88,4,,
2026-05-01 12:40:00,skip_no_cash,AI,36,19801.16,99679.88,4,,
2026-05-01 12:40:00,skip_no_cash,RXRX,37,19801.16,99679.88,4,,
2026-05-01 12:40:00,skip_no_cash,MELI,38,19801.16,99679.88,4,,
2026-05-01 12:45:00,skip_no_cash,SMR,39,19801.16,99615.51,4,,
2026-05-01 12:45:00,skip_no_cash,UEC,40,19801.16,99615.51,4,,
2026-05-01 13:00:00,skip_no_cash,ALAB,41,19801.16,99774.85,4,,
