symbol,pattern_id,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
CSCO,W033,2026-05-27 10:15,119.92,117.43,124.9,2026-05-27 13:35,119.51,time_exit,40,-0.41,-0.00342,-0.16,False
CSCO,W035,2026-05-28 10:45,119.3,117.37,123.16,2026-05-28 14:05,118.805,time_exit,40,-0.495,-0.00415,-0.26,False
CSCO,W036,2026-05-29 11:55,119.855,117.18,125.205,2026-05-29 15:15,121.1031,time_exit,40,1.2481,0.01041,0.47,True
CSCO,W038,2026-05-29 15:30,121.33,119.68,124.63,2026-05-29 15:55,120.45,end_of_data,5,-0.88,-0.00725,-0.53,False
AMKR,W001,2026-05-01 10:25,70.53,68.28,75.03,2026-05-01 13:45,70.95,time_exit,40,0.42,0.00595,0.19,True
AMKR,W003,2026-05-01 14:25,71.58,69.97,74.8,2026-05-01 15:55,71.08,session_close,18,-0.5,-0.00699,-0.31,False
AMKR,W004,2026-05-04 12:50,70.79,69.26,73.85,2026-05-04 15:55,70.95,session_close,37,0.16,0.00226,0.1,True
AMKR,W005,2026-05-05 15:05,76.54,75.66,78.3,2026-05-05 15:55,76.7,session_close,10,0.16,0.00209,0.18,True
AMKR,W006,2026-05-06 12:40,76.8,75.63,79.14,2026-05-06 15:55,77.26,session_close,39,0.46,0.00599,0.39,True
AMKR,W007,2026-05-07 14:05,73.09,71.87,75.53,2026-05-07 15:55,71.87,stop,22,-1.22,-0.01669,-1.0,False
AMKR,W008,2026-05-08 11:50,74.11,72.99,76.35,2026-05-08 13:05,76.35,target,15,2.24,0.03023,2.0,True
AMKR,W009,2026-05-08 15:15,76.35,75.07,78.91,2026-05-08 15:55,76.64,session_close,8,0.29,0.0038,0.23,True
AMKR,W010,2026-05-11 12:15,78.12,76.82,80.72,2026-05-11 14:55,76.82,stop,32,-1.3,-0.01664,-1.0,False
AMKR,W011,2026-05-12 13:10,70.985,69.78,73.395,2026-05-12 15:50,73.395,target,32,2.41,0.03395,2.0,True
AMKR,W013,2026-05-13 12:55,75.04,73.52,78.08,2026-05-13 15:55,74.62,session_close,36,-0.42,-0.0056,-0.28,False
AMKR,W015,2026-05-14 10:40,74.51,72.96,77.61,2026-05-14 13:20,72.96,stop,32,-1.55,-0.0208,-1.0,False
AMKR,W016,2026-05-14 14:20,73.96,72.44,77.0,2026-05-14 15:55,72.44,stop,19,-1.52,-0.02055,-1.0,False
AMKR,W017,2026-05-15 11:35,70.89,69.66,73.35,2026-05-15 14:55,71.42,time_exit,40,0.53,0.00748,0.43,True
AMKR,W019,2026-05-19 11:00,63.84,62.14,67.24,2026-05-19 14:20,66.01,time_exit,40,2.17,0.03399,1.28,True
AMKR,W021,2026-05-19 15:15,66.53,65.45,68.69,2026-05-19 15:50,65.45,stop,7,-1.08,-0.01623,-1.0,False
AMKR,W022,2026-05-20 11:55,68.48,67.66,70.12,2026-05-20 12:20,67.66,stop,5,-0.82,-0.01197,-1.0,False
AMKR,W023,2026-05-20 13:30,67.99,67.26,69.45,2026-05-20 15:55,68.48,session_close,29,0.49,0.00721,0.67,True
AMKR,W024,2026-05-21 12:10,66.61,64.63,70.57,2026-05-21 15:30,65.82,time_exit,40,-0.79,-0.01186,-0.4,False
AMKR,W026,2026-05-22 11:55,66.71,65.45,69.23,2026-05-22 15:15,66.09,time_exit,40,-0.62,-0.00929,-0.49,False
AMKR,W028,2026-05-26 12:05,73.4399,71.67,76.9797,2026-05-26 15:25,73.33,time_exit,40,-0.1099,-0.0015,-0.06,False
AMKR,W031,2026-05-27 11:30,71.72,70.59,73.98,2026-05-27 14:50,72.09,time_exit,40,0.37,0.00516,0.33,True
AMKR,W032,2026-05-28 11:10,71.66,70.24,74.5,2026-05-28 14:30,71.03,time_exit,40,-0.63,-0.00879,-0.44,False
AMKR,W034,2026-05-29 12:25,69.44,68.23,71.86,2026-05-29 15:45,69.28,time_exit,40,-0.16,-0.0023,-0.13,False
ASTS,W001,2026-05-01 11:35,72.3487,70.94,75.1661,2026-05-01 14:55,71.51,time_exit,40,-0.8387,-0.01159,-0.6,False
ASTS,W004,2026-05-04 10:35,70.43,68.46,74.37,2026-05-04 12:05,68.46,stop,18,-1.97,-0.02797,-1.0,False
ASTS,W005,2026-05-04 14:30,69.47,68.52,71.37,2026-05-04 15:15,68.52,stop,9,-0.95,-0.01367,-1.0,False
ASTS,W006,2026-05-05 14:50,64.27,63.11,66.59,2026-05-05 15:55,63.85,session_close,13,-0.42,-0.00653,-0.36,False
ASTS,W007,2026-05-06 13:15,70.29,69.19,72.49,2026-05-06 15:55,70.68,session_close,32,0.39,0.00555,0.35,True
ASTS,W008,2026-05-07 12:55,66.81,65.48,69.47,2026-05-07 14:25,65.48,stop,18,-1.33,-0.01991,-1.0,False
ASTS,W009,2026-05-08 11:35,69.8147,67.66,74.1241,2026-05-08 14:55,72.7,time_exit,40,2.8853,0.04133,1.34,True
ASTS,W010,2026-05-08 15:05,73.69,71.7,77.67,2026-05-08 15:55,75.04,session_close,10,1.35,0.01832,0.68,True
ASTS,W011,2026-05-11 11:30,82.69,80.75,86.57,2026-05-11 14:50,84.15,time_exit,40,1.46,0.01766,0.75,True
ASTS,W013,2026-05-12 12:15,72.02,69.57,76.92,2026-05-12 15:35,73.41,time_exit,40,1.39,0.0193,0.57,True
ASTS,W015,2026-05-13 10:20,74.0843,71.64,78.9729,2026-05-13 13:40,76.13,time_exit,40,2.0457,0.02761,0.84,True
ASTS,W017,2026-05-14 14:15,83.7,81.71,87.68,2026-05-14 15:55,82.975,session_close,20,-0.725,-0.00866,-0.36,False
ASTS,W018,2026-05-15 13:20,79.68,78.32,82.4,2026-05-15 14:50,82.4,target,18,2.72,0.03414,2.0,True
ASTS,W020,2026-05-18 11:40,84.4,81.42,90.36,2026-05-18 15:00,84.86,time_exit,40,0.46,0.00545,0.15,True
ASTS,W021,2026-05-18 15:05,84.86,81.99,90.6,2026-05-18 15:55,86.81,session_close,10,1.95,0.02298,0.68,True
ASTS,W022,2026-05-19 11:50,81.7699,79.04,87.2297,2026-05-19 13:30,87.2297,target,20,5.4598,0.06677,2.0,True
ASTS,W023,2026-05-19 15:05,89.69,87.06,94.95,2026-05-19 15:55,88.09,session_close,10,-1.6,-0.01784,-0.61,False
ASTS,W024,2026-05-20 14:05,91.07,89.15,94.91,2026-05-20 15:55,89.5301,session_close,22,-1.5399,-0.01691,-0.8,False
ASTS,W025,2026-05-21 15:05,94.55,92.29,99.07,2026-05-21 15:55,96.22,session_close,10,1.67,0.01766,0.74,True
ASTS,W026,2026-05-22 14:10,103.73,101.83,107.53,2026-05-22 15:55,105.84,session_close,21,2.11,0.02034,1.11,True
ASTS,W027,2026-05-26 11:00,126.72,122.24,135.68,2026-05-26 11:55,122.24,stop,11,-4.48,-0.03535,-1.0,False
ASTS,W028,2026-05-27 12:10,128.095,123.75,136.785,2026-05-27 15:30,130.07,time_exit,40,1.975,0.01542,0.45,True
ASTS,W030,2026-05-28 11:10,125.9499,121.39,135.0697,2026-05-28 14:30,130.9002,time_exit,40,4.9503,0.0393,1.09,True
ASTS,W032,2026-05-28 14:55,131.69,128.04,138.99,2026-05-28 15:55,133.0,session_close,12,1.31,0.00995,0.36,True
ASTS,W033,2026-05-29 12:00,111.14,108.5,116.42,2026-05-29 15:20,109.73,time_exit,40,-1.41,-0.01269,-0.53,False
RKLB,W001,2026-05-01 11:35,81.0,79.48,84.04,2026-05-01 14:50,79.48,stop,39,-1.52,-0.01877,-1.0,False
RKLB,W002,2026-05-04 13:05,80.64,77.54,86.84,2026-05-04 15:55,80.3,session_close,34,-0.34,-0.00422,-0.11,False
RKLB,W004,2026-05-05 11:20,79.305,76.98,83.955,2026-05-05 12:10,76.98,stop,10,-2.325,-0.02932,-1.0,False
RKLB,W005,2026-05-05 12:50,77.715,76.5,80.145,2026-05-05 15:55,78.79,session_close,37,1.075,0.01383,0.88,True
RKLB,W007,2026-05-06 12:35,81.99,80.53,84.91,2026-05-06 15:55,84.665,time_exit,40,2.675,0.03263,1.83,True
RKLB,W009,2026-05-07 13:10,79.68,78.34,82.36,2026-05-07 14:25,78.34,stop,15,-1.34,-0.01682,-1.0,False
RKLB,W010,2026-05-07 15:40,78.715,77.54,81.065,2026-05-07 15:55,78.6,session_close,3,-0.115,-0.00146,-0.1,False
RKLB,W011,2026-05-08 13:35,100.1,98.31,103.68,2026-05-08 15:50,103.68,target,27,3.58,0.03576,2.0,True
RKLB,W013,2026-05-11 11:35,119.4506,115.64,127.0718,2026-05-11 14:55,120.945,time_exit,40,1.4944,0.01251,0.39,True
RKLB,W014,2026-05-12 12:15,117.96,112.87,128.14,2026-05-12 15:35,120.15,time_exit,40,2.19,0.01857,0.43,True
RKLB,W015,2026-05-12 15:35,119.93,115.94,127.91,2026-05-12 15:55,117.56,session_close,4,-2.37,-0.01976,-0.59,False
RKLB,W016,2026-05-13 12:25,125.52,121.43,133.7,2026-05-13 15:45,125.38,time_exit,40,-0.14,-0.00112,-0.03,False
RKLB,W018,2026-05-14 12:15,130.88,126.23,140.18,2026-05-14 15:35,131.57,time_exit,40,0.69,0.00527,0.15,True
RKLB,W020,2026-05-15 14:55,126.29,123.14,132.59,2026-05-15 15:55,124.73,session_close,12,-1.56,-0.01235,-0.5,False
RKLB,W021,2026-05-18 12:55,129.43,125.14,138.01,2026-05-18 15:55,131.24,session_close,36,1.81,0.01398,0.42,True
RKLB,W023,2026-05-19 11:05,119.1401,114.65,128.1203,2026-05-19 13:15,128.1203,target,26,8.9802,0.07538,2.0,True
RKLB,W024,2026-05-19 15:15,128.16,125.02,134.44,2026-05-19 15:55,127.3,session_close,8,-0.86,-0.00671,-0.27,False
RKLB,W025,2026-05-20 14:05,132.9499,130.49,137.8697,2026-05-20 15:55,134.27,session_close,22,1.3201,0.00993,0.54,True
RKLB,W026,2026-05-21 11:50,129.26,126.81,134.16,2026-05-21 13:20,126.81,stop,18,-2.45,-0.01895,-1.0,False
RKLB,W028,2026-05-22 11:55,138.215,134.92,144.805,2026-05-22 12:35,134.92,stop,8,-3.295,-0.02384,-1.0,False
RKLB,W029,2026-05-22 14:15,135.33,132.23,141.53,2026-05-22 15:55,135.76,session_close,20,0.43,0.00318,0.14,True
RKLB,W031,2026-05-26 14:25,144.6,142.28,149.24,2026-05-26 14:45,142.28,stop,4,-2.32,-0.01604,-1.0,False
RKLB,W032,2026-05-27 12:00,144.47,141.34,150.73,2026-05-27 15:20,148.555,time_exit,40,4.085,0.02828,1.31,True
RKLB,W033,2026-05-27 15:40,148.98,145.4,156.14,2026-05-27 15:55,150.23,session_close,3,1.25,0.00839,0.35,True
RKLB,W034,2026-05-28 11:00,146.79,141.66,157.05,2026-05-28 14:20,149.4505,time_exit,40,2.6605,0.01812,0.52,True
RKLB,W036,2026-05-28 14:20,149.2478,145.88,155.9834,2026-05-28 15:55,148.05,session_close,19,-1.1978,-0.00803,-0.36,False
RKLB,W037,2026-05-29 10:55,138.39,133.38,148.41,2026-05-29 14:15,140.14,time_exit,40,1.75,0.01265,0.35,True
