timestamp,event,symbol,trade_id,cash,equity,open_positions,return_pct,pnl
2026-05-01 10:25:00,entry,AMKR,0,80000.0,100000.0,1,,
2026-05-01 11:00:00,entry,RGTI,1,60059.55,99702.26,2,,
2026-05-01 11:00:00,entry,IONQ,2,40107.5,99760.22,3,,
2026-05-01 11:35:00,entry,RKLB,3,19966.47,100705.18,4,,
2026-05-01 11:35:00,skip_no_cash,ASTS,4,19966.47,100725.08,4,,
2026-05-01 12:15:00,skip_no_cash,OKLO,5,19966.47,100647.37,4,,
2026-05-01 12:50:00,skip_no_cash,MU,6,19966.47,100395.57,4,,
2026-05-01 13:05:00,skip_no_cash,GLW,7,19966.47,100425.56,4,,
2026-05-01 13:45:00,exit,AMKR,0,40085.57,100769.42,3,0.00595,119.1
2026-05-01 14:00:00,entry,SNDK,8,19950.28,100676.44,4,,
2026-05-01 14:20:00,exit,RGTI,1,40183.58,100925.13,3,0.01469,292.85
2026-05-01 14:20:00,exit,IONQ,2,60454.29,100925.13,2,0.01597,318.67
2026-05-01 14:25:00,entry,AMKR,9,40268.36,100929.65,3,,
2026-05-01 14:50:00,exit,RKLB,3,60031.44,100741.29,2,-0.01877,-377.96
2026-05-01 15:25:00,exit,SNDK,8,80991.04,101043.02,1,0.04094,824.31
2026-05-01 15:40:00,entry,OKLO,10,60783.28,101038.78,2,,
2026-05-01 15:55:00,exit,AMKR,9,80828.21,100987.31,1,-0.00699,-141.0
2026-05-01 15:55:00,exit,OKLO,10,100987.31,100987.31,0,-0.00241,-48.66
2026-05-04 10:35:00,entry,ASTS,11,80789.85,100987.31,1,,
2026-05-04 10:55:00,entry,OKLO,12,60635.97,100769.36,2,,
2026-05-04 11:40:00,exit,OKLO,12,80111.54,99916.12,1,-0.03366,-678.31
2026-05-04 12:05:00,exit,ASTS,11,99744.05,99744.05,0,-0.02797,-564.94
2026-05-04 12:50:00,entry,AMKR,13,79795.24,99744.05,1,,
2026-05-04 13:05:00,entry,SNDK,14,59841.64,99768.01,2,,
2026-05-04 13:05:00,entry,MU,15,39893.39,99741.27,3,,
