timestamp,event,symbol,trade_id,cash,equity,open_positions,return_pct,quality_win
2026-05-01 10:20:00,entry,WULF,0,80000.0,100000.0,1,,
2026-05-01 10:25:00,entry,CIFR,1,59989.19,100054.05,2,,
2026-05-01 10:25:00,entry,AMKR,2,39980.58,100043.05,3,,
2026-05-01 10:25:00,entry,LSCC,3,19974.81,100028.86,4,,
2026-05-01 10:30:00,entry,HOOD,4,87.54,99436.35,5,,
2026-05-01 10:30:00,skip_max_positions,COIN,5,87.54,99444.47,5,,
2026-05-01 10:50:00,skip_max_positions,ARM,6,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,AFRM,7,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,HIVE,8,87.54,100017.72,5,,
2026-05-01 10:50:00,skip_max_positions,QUBT,9,87.54,100017.72,5,,
2026-05-01 11:45:00,skip_max_positions,RIOT,10,87.54,100234.11,5,,
2026-05-01 11:50:00,exit,CIFR,1,19801.16,99853.32,4,-0.01485,False
2026-05-01 11:50:00,skip_no_cash,BTDR,11,19801.16,99853.32,4,,
2026-05-01 11:55:00,skip_no_cash,MPWR,12,19801.16,99957.01,4,,
2026-05-01 12:05:00,skip_no_cash,CLSK,13,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,IREN,14,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,IONQ,15,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,QS,16,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,COHR,17,19801.16,99787.54,4,,
2026-05-01 12:05:00,skip_no_cash,LEU,18,19801.16,99787.54,4,,
2026-05-01 12:10:00,skip_no_cash,LCID,19,19801.16,99756.24,4,,
2026-05-01 12:15:00,skip_no_cash,SPCE,20,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,LUNR,21,19801.16,99806.2,4,,
2026-05-01 12:15:00,skip_no_cash,ENPH,22,19801.16,99806.2,4,,
2026-05-01 12:25:00,skip_no_cash,FSLR,23,19801.16,99611.19,4,,
2026-05-01 12:35:00,skip_no_cash,LAES,24,19801.16,99689.26,4,,
2026-05-01 12:40:00,skip_no_cash,TSM,25,19801.16,99679.88,4,,
2026-05-01 12:40:00,skip_no_cash,AI,26,19801.16,99679.88,4,,
2026-05-01 12:45:00,skip_no_cash,SMR,27,19801.16,99615.51,4,,
2026-05-01 12:45:00,skip_no_cash,UEC,28,19801.16,99615.51,4,,
2026-05-01 13:00:00,skip_no_cash,ALAB,29,19801.16,99774.85,4,,
2026-05-01 13:00:00,skip_no_cash,ENVX,30,19801.16,99774.85,4,,
2026-05-01 13:20:00,skip_no_cash,RGTI,31,19801.16,99972.85,4,,
2026-05-01 13:40:00,skip_no_cash,ARQQ,32,19801.16,99854.94,4,,
2026-05-01 13:55:00,exit,WULF,0,39269.63,99698.67,3,-0.02658,False
2026-05-01 14:00:00,entry,SEDG,33,19338.49,99655.7,4,,
2026-05-01 14:00:00,skip_no_cash,OKLO,34,19338.49,99769.46,4,,
2026-05-01 14:05:00,skip_no_cash,BBAI,35,19338.49,99705.74,4,,
2026-05-01 14:15:00,skip_no_cash,QBTS,36,19338.49,99682.63,4,,
2026-05-01 14:25:00,exit,AMKR,2,39656.32,99773.35,3,0.01545,True
2026-05-01 14:25:00,exit,LSCC,3,59559.28,99773.35,2,-0.00514,False
2026-05-01 14:30:00,exit,HOOD,4,79749.76,99720.37,1,0.01525,True
2026-05-01 14:30:00,entry,RUN,37,59805.69,99720.37,2,,
