interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
15m,early_hl_wide_2r,early-higher-low,LRCX,24.2811,5,5,2,0,40.0,0.0,-0.0346,-0.173,-0.022
15m,early_hl_wide_2r,early-higher-low,KLAC,11.6596,4,4,1,0,25.0,0.0,-0.2457,-0.983,-0.215
15m,early_hl_wide_2r,early-higher-low,QCOM,44.1389,2,2,1,0,50.0,0.0,0.019,0.038,-0.025
15m,early_hl_wide_2r,early-higher-low,ADI,3.9478,3,1,1,0,100.0,0.0,0.103,0.103,0.12
15m,early_hl_wide_2r,early-higher-low,MCHP,2.0699,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_wide_2r,early-higher-low,MPWR,-0.7799,5,4,3,2,75.0,50.0,0.662,2.648,0.545
15m,early_hl_wide_2r,early-higher-low,LSCC,20.5738,4,4,2,1,50.0,25.0,-0.021,-0.084,0.0075
15m,early_hl_wide_2r,early-higher-low,ALAB,69.4345,3,2,2,0,100.0,0.0,0.586,1.172,0.19
15m,early_hl_wide_2r,early-higher-low,CRDO,33.8584,2,2,1,0,50.0,0.0,-0.0565,-0.113,-0.005
15m,early_hl_wide_2r,early-higher-low,COHR,8.9125,6,6,1,0,16.67,0.0,-0.3793,-2.276,-0.375
15m,early_hl_wide_2r,early-higher-low,WOLF,88.3832,1,1,0,0,0.0,0.0,-4.907,-4.907,-1.0
15m,early_hl_wide_2r,early-higher-low,AEHR,0.7644,1,1,0,0,0.0,0.0,-2.158,-2.158,-0.46
15m,early_hl_wide_2r,early-higher-low,PLTR,7.9261,4,4,2,2,50.0,50.0,0.5965,2.386,0.265
15m,early_hl_wide_2r,early-higher-low,APP,32.2903,3,3,1,0,33.33,0.0,-0.3497,-1.049,-0.14
15m,early_hl_wide_2r,early-higher-low,SOUN,4.1146,5,4,2,2,50.0,50.0,0.188,0.752,-0.1325
15m,early_hl_wide_2r,early-higher-low,BBAI,25.2174,5,5,2,2,40.0,40.0,0.1858,0.929,-0.04
15m,early_hl_wide_2r,early-higher-low,AI,18.4268,6,6,4,0,66.67,0.0,-0.1408,-0.845,-0.1217
15m,early_hl_wide_2r,early-higher-low,PATH,9.2947,4,4,1,0,25.0,0.0,-1.0385,-4.154,-0.44
15m,early_hl_wide_2r,early-higher-low,UPST,5.296,5,5,3,2,60.0,40.0,0.3692,1.846,0.118
15m,early_hl_wide_2r,early-higher-low,AFRM,13.3846,5,5,4,0,80.0,0.0,0.1956,0.978,0.076
15m,early_hl_wide_2r,early-higher-low,HOOD,28.4867,5,5,1,0,20.0,0.0,-0.033,-0.165,-0.046
15m,early_hl_wide_2r,early-higher-low,COIN,-0.8186,5,4,1,0,25.0,0.0,-0.45,-1.8,-0.22
15m,early_hl_wide_2r,early-higher-low,MARA,18.3313,6,6,2,1,33.33,16.67,-0.632,-3.792,-0.1717
15m,early_hl_wide_2r,early-higher-low,RIOT,45.0267,4,4,0,0,0.0,0.0,-1.2833,-5.133,-0.5975
15m,early_hl_wide_2r,early-higher-low,CLSK,44.3929,6,5,1,1,20.0,20.0,-0.578,-2.89,-0.276
15m,early_hl_wide_2r,early-higher-low,IREN,37.0271,2,2,1,1,50.0,50.0,-0.148,-0.296,-0.285
15m,early_hl_wide_2r,early-higher-low,CORZ,31.0076,4,4,3,2,75.0,50.0,0.7587,3.035,0.2175
15m,early_hl_wide_2r,early-higher-low,CIFR,29.8737,4,4,1,1,25.0,25.0,-0.6428,-2.571,-0.2775
15m,early_hl_wide_2r,early-higher-low,WULF,16.0163,2,2,1,1,50.0,50.0,0.742,1.484,0.23
15m,early_hl_wide_2r,early-higher-low,HIVE,84.2932,1,1,1,1,100.0,100.0,2.381,2.381,0.88
15m,early_hl_wide_2r,early-higher-low,BTDR,52.5764,1,1,0,0,0.0,0.0,-2.954,-2.954,-1.0
15m,early_hl_wide_2r,early-higher-low,HUT,62.1671,3,2,2,2,100.0,100.0,1.4425,2.885,0.48
15m,early_hl_wide_2r,early-higher-low,QBTS,50.0872,3,2,1,1,50.0,50.0,0.513,1.026,0.22
15m,early_hl_wide_2r,early-higher-low,QUBT,33.2769,4,2,1,0,50.0,0.0,-1.2985,-2.597,-0.45
15m,early_hl_wide_2r,early-higher-low,ARQQ,15.355,3,2,2,0,100.0,0.0,0.321,0.642,0.135
15m,early_hl_wide_2r,early-higher-low,LAES,24.5115,3,3,2,2,66.67,66.67,0.5057,1.517,0.6667
15m,early_hl_wide_2r,early-higher-low,QS,22.777,5,5,2,1,40.0,20.0,-0.3202,-1.601,-0.384
15m,early_hl_wide_2r,early-higher-low,ENVX,20.6479,5,5,2,1,40.0,20.0,-0.474,-2.37,-0.196
15m,early_hl_wide_2r,early-higher-low,JOBY,33.2215,8,8,4,0,50.0,0.0,0.0447,0.358,0.0162
15m,early_hl_wide_2r,early-higher-low,ACHR,20.708,7,7,4,3,57.14,42.86,0.3963,2.774,0.3243
15m,early_hl_wide_2r,early-higher-low,LUNR,74.6114,2,2,1,0,50.0,0.0,-0.5005,-1.001,-0.065
15m,early_hl_wide_2r,early-higher-low,SPCE,158.5417,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_wide_2r,early-higher-low,NNE,25.2059,4,3,1,1,33.33,33.33,-0.2023,-0.607,-0.3367
15m,early_hl_wide_2r,early-higher-low,SMR,3.7674,4,4,1,1,25.0,25.0,-0.6503,-2.601,-0.44
15m,early_hl_wide_2r,early-higher-low,LEU,-10.9625,5,4,2,0,50.0,0.0,-0.137,-0.548,-0.095
15m,early_hl_wide_2r,early-higher-low,CCJ,-7.4381,5,5,1,0,20.0,0.0,-0.3044,-1.522,-0.102
15m,early_hl_wide_2r,early-higher-low,UEC,-5.643,8,7,4,2,57.14,28.57,0.6074,4.252,0.2314
15m,early_hl_wide_2r,early-higher-low,DNN,-7.6237,4,4,2,0,50.0,0.0,0.2338,0.935,0.175
15m,early_hl_wide_2r,early-higher-low,RUN,29.1892,6,6,3,1,50.0,16.67,-0.1015,-0.609,-0.1533
15m,early_hl_wide_2r,early-higher-low,ENPH,104.0877,2,2,1,0,50.0,0.0,-0.582,-1.164,-0.165
15m,early_hl_wide_2r,early-higher-low,SEDG,78.523,2,2,2,2,100.0,100.0,2.526,5.052,1.165
15m,early_hl_wide_2r,early-higher-low,FSLR,49.0261,5,4,4,1,100.0,25.0,0.729,2.916,0.2725
15m,early_hl_wide_2r,early-higher-low,BE,-0.3143,3,3,1,1,33.33,33.33,-0.6853,-2.056,-0.35
15m,early_hl_wide_2r,early-higher-low,PLUG,27.5263,3,3,1,1,33.33,33.33,-0.25,-0.75,0.1467
15m,early_hl_wide_2r,early-higher-low,BLDP,85.7988,2,2,1,0,50.0,0.0,0.0525,0.105,0.015
15m,early_hl_wide_2r,early-higher-low,LAC,-7.5972,5,5,2,0,40.0,0.0,-0.1198,-0.599,-0.014
15m,early_hl_wide_2r,early-higher-low,ALB,-8.7915,1,1,0,0,0.0,0.0,-0.409,-0.409,-0.56
15m,early_hl_wide_2r,early-higher-low,RIVN,5.2547,3,3,0,0,0.0,0.0,-0.9297,-2.789,-0.5833
15m,early_hl_wide_2r,early-higher-low,LCID,3.2497,3,3,0,0,0.0,0.0,-1.7253,-5.176,-0.57
15m,early_hl_wide_2r,early-higher-low,NIO,-8.5665,2,1,0,0,0.0,0.0,-1.055,-1.055,-1.0
