interval,variant,entry_mode,pattern_id,symbol,entry_date,entry_price,stop_price,target_price,target_return_pct,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win,quality_win,trend_30m_pct,trend_60m_pct,trend_120m_pct,above_ema20,ema20_rising,ema20_above_ema50,above_vwap,volume_ratio
5m,early_hl_wide_3r,early-higher-low,W002,LEU,2026-05-04 11:15,209.5,201.46,233.62,11.5131,2026-05-04 15:15,206.67,time_exit,48,-2.83,-0.01351,-0.35,False,False,-0.08607709236692074,2.0551246345075658,0.6822883276608405,True,True,True,True,1.9602274373880637
5m,early_hl_wide_3r,early-higher-low,W004,LEU,2026-05-06 13:55,224.23,216.05,248.77,10.9441,2026-05-06 15:55,231.25,session_close,24,7.02,0.03131,0.86,True,True,-0.10231970209422236,3.0222122570327414,1.2901280172566754,True,True,True,True,0.36705822167129054
5m,early_hl_wide_3r,early-higher-low,W007,LEU,2026-05-11 12:10,208.845,202.99,226.41,8.4105,2026-05-11 15:55,213.54,session_close,45,4.695,0.02248,0.8,True,True,0.2307006311503601,1.637586865333862,1.017240273150355,True,True,True,True,0.44763164612778206
5m,early_hl_wide_3r,early-higher-low,W014,LEU,2026-05-21 11:00,172.58,168.66,184.34,6.8142,2026-05-21 15:00,177.525,time_exit,48,4.945,0.02865,1.26,True,True,0.9876071351625937,1.5843199152924425,1.84476036812109,True,True,True,True,0.2799106840787604
5m,early_hl_wide_3r,early-higher-low,W015,LEU,2026-05-26 10:45,187.2,180.92,206.04,10.0641,2026-05-26 14:45,184.33,time_exit,48,-2.87,-0.01533,-0.46,False,False,-0.6046459267229909,1.9503258207778318,4.134244779422924,True,True,True,True,0.9361374118372539
5m,early_hl_wide_3r,early-higher-low,W016,LEU,2026-05-27 11:10,182.0,177.61,195.17,7.2363,2026-05-27 15:10,179.605,time_exit,48,-2.395,-0.01316,-0.55,False,False,-0.13681756704694292,1.2648377205221273,-0.9753137351051433,True,True,False,True,0.48700331270923525
5m,early_hl_wide_3r,early-higher-low,W002,CCJ,2026-05-06 11:15,120.72,117.54,130.26,7.9026,2026-05-06 15:15,124.42,time_exit,48,3.7,0.03065,1.16,True,True,0.049743172804883606,2.1671084800725327,4.738348455618713,True,True,True,True,0.5613511558707351
5m,early_hl_wide_3r,early-higher-low,W010,CCJ,2026-05-26 10:45,108.075,105.39,116.13,7.4531,2026-05-26 14:45,108.25,time_exit,48,0.175,0.00162,0.07,True,False,-0.1708747606675276,1.2885993874748536,2.933335077194932,True,True,True,True,0.5138768530969338
5m,early_hl_wide_3r,early-higher-low,W012,CCJ,2026-05-28 10:40,107.2401,105.03,113.8704,6.1827,2026-05-28 14:40,110.92,time_exit,48,3.6799,0.03431,1.67,True,True,1.0062134296289216,1.272870200444598,-0.5002253834168524,True,True,False,True,0.5094150082314989
5m,early_hl_wide_3r,early-higher-low,W007,UEC,2026-05-13 11:20,15.735,15.36,16.86,7.1497,2026-05-13 15:20,15.36,stop,48,-0.375,-0.02383,-1.0,False,False,1.7291526767208687,3.2305694252074524,1.4340950208735714,True,True,True,True,0.7665441099580463
5m,early_hl_wide_3r,early-higher-low,W013,UEC,2026-05-26 10:40,13.5925,13.23,14.68,8.0007,2026-05-26 14:40,13.5001,time_exit,48,-0.0924,-0.0068,-0.25,False,False,0.0743493901854686,1.5317405097122094,3.4241150961886957,True,True,True,True,0.42615988412132144
5m,early_hl_wide_3r,early-higher-low,W015,UEC,2026-05-28 11:10,13.425,13.15,14.25,6.1453,2026-05-28 15:10,13.535,time_exit,48,0.11,0.00819,0.4,True,False,0.7504719167064744,1.9362195365504986,-0.07443415384814633,True,True,False,True,0.6950836245859943
5m,early_hl_wide_3r,early-higher-low,W016,UEC,2026-05-29 11:35,13.618,13.17,14.962,9.8693,2026-05-29 15:35,13.715,time_exit,48,0.097,0.00712,0.22,True,False,0.7771986710396916,2.5998440199951123,2.0614663821943324,True,True,True,True,0.7039670570903515
5m,early_hl_wide_3r,early-higher-low,W004,DNN,2026-05-07 11:00,3.87,3.77,4.17,7.7519,2026-05-07 12:05,3.77,stop,13,-0.1,-0.02584,-1.0,False,False,-1.2748113808773165,2.2371515319351554,0.7766253180720772,False,True,True,False,0.3987894717818351
5m,early_hl_wide_3r,early-higher-low,W013,DNN,2026-05-27 10:40,3.355,3.26,3.64,8.4948,2026-05-27 14:40,3.395,time_exit,48,0.04,0.01192,0.42,True,True,0.44977110386872354,1.2084580829157865,-0.2916898446731153,True,True,True,True,0.7875082912003949
5m,early_hl_wide_3r,early-higher-low,W015,DNN,2026-05-28 11:10,3.3901,3.29,3.6904,8.8581,2026-05-28 15:10,3.4297,time_exit,48,0.0396,0.01168,0.4,True,True,0.3077213068275908,1.65217281893828,-0.14432926848966243,True,True,False,True,2.2976145471832092
5m,early_hl_wide_3r,early-higher-low,W016,DNN,2026-05-29 11:35,3.44,3.37,3.65,6.1047,2026-05-29 15:35,3.46,time_exit,48,0.02,0.00581,0.29,True,False,0.5944407070091806,2.739485645614015,0.8040146724072494,True,True,True,True,1.0697798175711881
5m,early_hl_wide_3r,early-higher-low,W003,RUN,2026-05-13 11:40,14.645,14.16,16.1,9.9351,2026-05-13 15:40,14.55,time_exit,48,-0.095,-0.00649,-0.2,False,False,0.5561299718336965,1.7790101391019109,6.361651572710714,True,True,True,True,0.5769078387681301
5m,early_hl_wide_3r,early-higher-low,W005,RUN,2026-05-14 11:40,14.78,14.26,16.34,10.5548,2026-05-14 15:40,14.63,time_exit,48,-0.15,-0.01015,-0.29,False,False,1.8263224360324903,3.4301699429624577,5.460380993223524,True,True,True,True,1.7865514456186902
5m,early_hl_wide_3r,early-higher-low,W008,RUN,2026-05-20 11:40,13.455,13.29,13.95,3.6789,2026-05-20 12:10,13.95,target,6,0.495,0.03679,3.0,True,True,0.5204950157215116,1.5825100017219373,3.0581010769374473,True,True,True,True,1.2913981897750988
5m,early_hl_wide_3r,early-higher-low,W013,RUN,2026-05-28 14:20,15.745,15.44,16.66,5.8114,2026-05-28 15:55,15.885,session_close,19,0.14,0.00889,0.46,True,False,-0.28499098418404145,1.0914932801014743,3.2120600946722533,True,True,True,True,1.214150435268365
5m,early_hl_wide_3r,early-higher-low,W003,ENPH,2026-05-11 12:35,39.23,37.79,43.55,11.012,2026-05-11 14:55,37.79,stop,28,-1.44,-0.03671,-1.0,False,False,0.5767810779272908,2.4947802024779087,5.840304648908923,True,True,True,True,0.8251877294831664
5m,early_hl_wide_3r,early-higher-low,W004,ENPH,2026-05-13 11:40,41.59,40.2,45.76,10.0264,2026-05-13 15:40,42.36,time_exit,48,0.77,0.01851,0.55,True,True,-0.8572871731309828,1.4055853350987801,10.114777647379803,True,True,True,True,0.31641935353327655
5m,early_hl_wide_3r,early-higher-low,W005,ENPH,2026-05-15 11:20,50.79,50.08,52.92,4.1937,2026-05-15 13:25,52.92,target,25,2.13,0.04194,3.0,True,True,-0.029526358019105192,2.6063257770803316,5.626035593472611,True,True,True,True,0.4988916516171312
5m,early_hl_wide_3r,early-higher-low,W006,ENPH,2026-05-15 15:00,53.49,52.27,57.15,6.8424,2026-05-15 15:20,52.27,stop,4,-1.22,-0.02281,-1.0,False,False,-0.018706070697815935,1.249999729069784,3.4440715378367237,True,True,True,True,0.7724017781219106
5m,early_hl_wide_3r,early-higher-low,W008,ENPH,2026-05-20 10:40,49.1301,46.94,55.7004,13.3733,2026-05-20 14:40,53.04,time_exit,48,3.9099,0.07958,1.79,True,True,2.0535193886482617,4.591836320945131,3.578948974609375,True,True,True,True,1.403345965239968
5m,early_hl_wide_3r,early-higher-low,W009,ENPH,2026-05-21 10:40,57.08,54.58,64.58,13.1395,2026-05-21 14:40,62.29,time_exit,48,5.21,0.09128,2.08,True,True,-1.1418530285159045,1.9285746983119356,8.548070409512132,True,True,True,True,0.3472708023730586
5m,early_hl_wide_3r,early-higher-low,W011,ENPH,2026-05-22 11:00,64.51,62.06,71.86,11.3936,2026-05-22 15:00,63.785,time_exit,48,-0.725,-0.01124,-0.3,False,False,2.5375824001622638,1.5280362523639734,4.245849014006442,True,True,True,True,0.6696256760449706
5m,early_hl_wide_3r,early-higher-low,W002,SEDG,2026-05-04 13:45,41.19,40.05,44.61,8.303,2026-05-04 15:55,41.54,session_close,26,0.35,0.0085,0.31,True,False,-0.33874473298598495,1.6033490293599684,1.8797880677628998,True,True,False,True,0.7397647557346169
5m,early_hl_wide_3r,early-higher-low,W003,SEDG,2026-05-05 11:55,43.205,42.01,46.79,8.2977,2026-05-05 15:55,44.625,time_exit,48,1.42,0.03287,1.19,True,True,-0.1389153982436997,1.2441375891506512,1.6095461435221337,True,True,True,True,0.440627830984611
5m,early_hl_wide_3r,early-higher-low,W005,SEDG,2026-05-08 14:05,41.44,40.04,45.64,10.1351,2026-05-08 15:55,41.3,session_close,22,-0.14,-0.00338,-0.1,False,False,0.23002717302200715,1.7076159257890522,1.89614161989069,True,True,True,True,0.7295745692017801
5m,early_hl_wide_3r,early-higher-low,W007,SEDG,2026-05-12 15:40,40.34,39.43,43.07,6.7675,2026-05-12 15:55,40.42,session_close,3,0.08,0.00198,0.09,True,False,-0.12379113101289585,1.1027534082263202,3.1977487723730436,True,True,True,True,0.7810943695479778
5m,early_hl_wide_3r,early-higher-low,W008,SEDG,2026-05-14 11:15,46.515,44.42,52.8,13.5118,2026-05-14 15:15,48.46,time_exit,48,1.945,0.04181,0.93,True,True,3.257727624684703,4.583332832153153,8.467396177167274,True,True,True,True,0.8280156631780793
5m,early_hl_wide_3r,early-higher-low,W010,SEDG,2026-05-19 14:00,54.8899,52.62,61.6996,12.4061,2026-05-19 15:55,54.52,session_close,23,-0.3699,-0.00674,-0.16,False,False,1.7147080216765698,3.274981797080656,6.923006704616408,True,True,True,True,2.6996916833302143
5m,early_hl_wide_3r,early-higher-low,W012,SEDG,2026-05-21 11:50,60.7,58.07,68.59,12.9984,2026-05-21 15:50,63.21,time_exit,48,2.51,0.04135,0.95,True,True,-0.23844837113810025,2.613332225230014,4.220715345047132,True,True,True,True,1.003667397524261
5m,early_hl_wide_3r,early-higher-low,W015,SEDG,2026-05-26 11:25,71.84,68.36,82.28,14.5323,2026-05-26 15:25,70.55,time_exit,48,-1.29,-0.01796,-0.37,False,False,1.2300227285401588,3.4158992459313087,15.558424035006556,True,True,True,True,1.9918577539370992
5m,early_hl_wide_3r,early-higher-low,W008,FSLR,2026-05-15 10:40,231.21,225.23,249.15,7.7592,2026-05-15 14:40,235.5,time_exit,48,4.29,0.01855,0.72,True,True,1.3870548247429282,2.673749022098537,-0.43536779245207935,True,False,False,True,1.1777493036362139
5m,early_hl_wide_3r,early-higher-low,W016,FSLR,2026-05-26 11:20,271.09,263.68,293.32,8.2002,2026-05-26 15:20,269.93,time_exit,48,-1.16,-0.00428,-0.16,False,False,0.2996892471100798,1.6362678742291248,5.317744838245231,True,True,True,True,2.642973052257899
