entry_mode,swing_window,low_tolerance_pct,max_second_low_undercut_pct,min_rebound_pct,breakout_lookahead,breakout_buffer_pct,require_volume_confirmation,volume_multiplier,max_first_low_to_neckline_bars,max_neckline_to_second_low_bars,stop_buffer_pct,reward_risk,max_hold_bars,closed_trades,wins,hit_rate_pct,avg_return_pct,total_return_pct,avg_r_multiple
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.005,2.5,20,116,54,46.55,0.019,2.209,0.004
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.005,3.0,20,116,54,46.55,0.019,2.209,0.004
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.0025,3.0,20,116,53,45.69,0.005,0.621,-0.009
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,2.0,20,115,52,45.22,0.022,2.497,0.005
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.0,20,115,52,45.22,0.003,0.328,-0.012
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.5,20,115,51,44.35,0.006,0.746,-0.01
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,2.5,20,114,52,45.61,0.025,2.807,0.008
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,3.0,20,114,52,45.61,0.025,2.807,0.008
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,3.0,20,114,51,44.74,0.011,1.219,-0.003
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,2.0,40,110,55,50.0,-0.008,-0.922,-0.026
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.0,40,110,55,50.0,-0.008,-0.934,-0.032
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,2.5,40,108,55,50.93,0.009,1.006,-0.008
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.5,40,108,55,50.93,0.009,0.994,-0.014
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,3.0,40,108,53,49.07,-0.004,-0.383,-0.022
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,3.0,40,108,53,49.07,-0.004,-0.395,-0.028
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,2.0,40,107,54,50.47,0.014,1.543,0.0
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,2.0,40,107,54,50.47,0.014,1.531,-0.004
