interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
5m,early_hl_wide_3r,early-higher-low,QBTS,49.4544,22,17,9,8,52.94,47.06,0.7849,13.343,0.3
5m,early_hl_wide_3r,early-higher-low,QUBT,33.2027,16,14,4,3,28.57,21.43,-0.5679,-7.95,-0.1957
5m,early_hl_wide_3r,early-higher-low,ARQQ,15.9634,17,16,4,2,25.0,12.5,-0.9708,-15.533,-0.3069
5m,early_hl_wide_3r,early-higher-low,LAES,22.5525,19,15,9,4,60.0,26.67,0.2097,3.146,0.084
5m,early_hl_wide_3r,early-higher-low,QS,23.1156,19,18,7,5,38.89,27.78,0.0781,1.405,0.1861
5m,early_hl_wide_3r,early-higher-low,ENVX,19.6697,20,16,9,7,56.25,43.75,0.8932,14.292,0.2944
5m,early_hl_wide_3r,early-higher-low,JOBY,32.2599,19,17,10,3,58.82,17.65,0.2376,4.039,0.0494
5m,early_hl_wide_3r,early-higher-low,ACHR,19.6491,22,19,7,4,36.84,21.05,-0.5624,-10.685,-0.3263
5m,early_hl_wide_3r,early-higher-low,LUNR,75.3101,21,19,11,9,57.89,47.37,0.5228,9.934,0.3268
5m,early_hl_wide_3r,early-higher-low,SPCE,158.0042,18,12,8,6,66.67,50.0,2.2275,26.73,0.7133
5m,early_hl_wide_3r,early-higher-low,NNE,25.1083,20,16,8,4,50.0,25.0,-0.0982,-1.571,-0.1369
5m,early_hl_wide_3r,early-higher-low,SMR,2.4252,21,18,8,5,44.44,27.78,-0.1196,-2.152,-0.1411
5m,early_hl_wide_3r,early-higher-low,LEU,-11.6311,19,15,7,4,46.67,26.67,0.2067,3.1,0.0227
5m,early_hl_wide_3r,early-higher-low,CCJ,-7.6582,14,11,6,2,54.55,18.18,0.3785,4.163,0.1545
5m,early_hl_wide_3r,early-higher-low,UEC,-5.643,16,13,8,4,61.54,30.77,0.5192,6.75,0.3269
5m,early_hl_wide_3r,early-higher-low,DNN,-8.3004,17,14,7,3,50.0,21.43,-0.0695,-0.973,-0.1171
5m,early_hl_wide_3r,early-higher-low,RUN,29.0885,15,12,3,2,25.0,16.67,-0.0735,-0.882,0.0317
5m,early_hl_wide_3r,early-higher-low,ENPH,101.7699,15,14,5,4,35.71,28.57,0.7644,10.701,0.21
5m,early_hl_wide_3r,early-higher-low,SEDG,76.5528,17,14,6,3,42.86,21.43,0.1996,2.794,-0.0329
5m,early_hl_wide_3r,early-higher-low,FSLR,46.1718,19,16,8,7,50.0,43.75,0.4483,7.173,0.3462
