timestamp,event,symbol,trade_id,cash,equity,open_positions,return_pct,pnl
2026-05-01 10:25:00,entry,AMKR,0,80000.0,100000.0,1,,
2026-05-01 11:00:00,entry,RGTI,1,60059.55,99702.26,2,,
2026-05-01 11:00:00,entry,IONQ,2,40107.5,99760.22,3,,
2026-05-01 11:35:00,entry,RKLB,3,19966.47,100705.18,4,,
2026-05-01 11:35:00,skip_no_cash,ASTS,4,19966.47,100725.08,4,,
2026-05-01 12:50:00,skip_no_cash,MU,5,19966.47,100395.57,4,,
2026-05-01 13:05:00,skip_no_cash,GLW,6,19966.47,100425.56,4,,
2026-05-01 13:45:00,exit,AMKR,0,40085.57,100769.42,3,0.00595,119.1
2026-05-01 14:00:00,entry,SNDK,7,19950.28,100676.44,4,,
2026-05-01 14:20:00,exit,RGTI,1,40183.58,100925.13,3,0.01469,292.85
2026-05-01 14:20:00,exit,IONQ,2,60454.29,100925.13,2,0.01597,318.67
2026-05-01 14:25:00,entry,AMKR,8,40268.36,100929.65,3,,
2026-05-01 14:50:00,exit,RKLB,3,60031.44,100741.29,2,-0.01877,-377.96
2026-05-01 15:25:00,exit,SNDK,7,80991.04,101043.02,1,0.04094,824.31
2026-05-01 15:55:00,exit,AMKR,8,101035.97,101035.97,0,-0.00699,-141.0
2026-05-04 10:35:00,entry,ASTS,9,80828.77,101035.97,1,,
2026-05-04 12:05:00,exit,ASTS,9,100470.75,100470.75,0,-0.02797,-565.22
2026-05-04 12:50:00,entry,AMKR,10,80376.6,100470.75,1,,
2026-05-04 13:05:00,entry,SNDK,11,60277.62,100494.88,2,,
2026-05-04 13:05:00,entry,MU,12,40184.04,100467.94,3,,
2026-05-04 13:05:00,entry,GLW,13,20095.32,100443.58,4,,
2026-05-04 13:05:00,entry,CSCO,14,9.1,100431.1,5,,
2026-05-04 13:05:00,skip_max_positions,RKLB,15,9.1,100434.35,5,,
2026-05-04 13:20:00,skip_max_positions,RGTI,16,9.1,100488.35,5,,
2026-05-04 13:20:00,skip_max_positions,IONQ,17,9.1,100488.35,5,,
